"numer";"stadur"
"0000";"Reykjavík"
"1000";"Kópavogur"
"1100";"Seltjarnarnes"
"1300";"Garðabær"
"1400";"Hafnarfjörður"
"2000";"Reykjanesbær"
"2300";"Grindavíkurbær"
"3000";"Akranes"
"3714";"Snæfellsbær"
"4100";"Bolungarvík"
"4200";"Ísafjarðarbær"
"5200";"Sveitarfélagið Skagafjörður"
"6000";"Akureyri"
"6100";"Norðurþing"
"6250";"Fjallabyggð"
"6400";"Dalvíkurbyggð"
"7000";"Seyðisfjörður"
"7300";"Fjarðabyggð"
"8000";"Vestmannaeyjar"
"8200";"Sveitarfélagið Árborg"
"1600";"Kjósasýsla"
"1603";"Sveitarfélagið Álftanes"
"1604";"Mosfellsbær"
"1606";"Kjósahreppur"
"2500";"Gullbringusýsla"
"2503";"Sandgerði"
"2504";"Sveitarfélagið Garður"
"2506";"Sveitarfélagið Vogar"
"3500";"Borgarfjarðarsýsla"
"3506";"Skorradalshreppur"
"3511";"Hvalfjarðarsveit"
"3600";"Mýrasýsla"
"3609";"Borgarbyggð"
"3700";"Snæfellsnessýsla"
"3709";"Grundarfjarðarbær"
"3710";"Helgafellssveit"
"3711";"Stykkishólmur"
"3713";"Eyja-og Miklaholtshreppur"
"3800";"Dalasýsla"
"3811";"Dalabyggð"
"4500";"A-Barðastrandarsýsla"
"4502";"Reykhólahreppur"
"4600";"V-Barðastrandarsýsla"
"4604";"Tálknafjarðarhreppur"
"4607";"Vesturbyggð"
"4700";"V-Ísafjarðarsýsla"
"4800";"N-Ísafjarðarsýsla"
"4803";"Súðavíkurhreppur"
"4900";"Strandasýsla"
"4901";"Árneshreppur"
"4902";"Kaldrananeshreppur"
"4911";"Strandabyggð"
"5500";"V-Húnavatnssýsla"
"5508";"Húnaþing vestra"
"5600";"A-Húnavatnssýsla"
"5604";"Blönduós"
"5609";"Sveitarfélagið Skagaströnd"
"5611";"Skagabyggð"
"5612";"Húnavatnshreppur"
"5700";"Skagafjarðarsýsla"
"5706";"Akrahreppur"
"6500";"Eyjafjarðarsýsla"
"6513";"Eyjafjarðarsveit"
"6515";"Hörgársveit"
"6600";"S-Þingeyjarsýsla"
"6601";"Svalbarðsstrandarhreppur"
"6602";"Grýtubakkahreppur"
"6607";"Skútustaðahreppur"
"6609";"Aðaldælahreppur"
"6611";"Tjörneshreppur"
"6612";"Þingeyjarsveit"
"6700";"N-Þingeyjarsýsla"
"6706";"Svalbarðshreppur"
"6709";"Langanesbyggð"
"7500";"N-Múlasýsla"
"7502";"Vopnafjarðarhreppur"
"7505";"Fljótsdalshreppur"
"7509";"Borgarfjarðarhreppur"
"7600";"S-Múlasýsla"
"7613";"Breiðdalshreppur"
"7617";"Djúpavogshreppur"
"7620";"Fljótsdalshérað"
"7700";"A-Skaftafellssýsla"
"7708";"Sveitarfélagið Hornafjörður"
"8500";"V-Skaftafellssýsla"
"8508";"Mýrdalshreppur"
"8509";"Skaftárhreppur"
"8600";"Rangárvallasýsla"
"8610";"Áshreppur"
"8613";"Rangárþing eystra"
"8614";"Rangárþing ytra"
"8700";"Árnessýsla"
"8710";"Hrunamannahreppur"
"8716";"Hveragerði"
"8717";"Sveitarfélagið Ölfus"
"8719";"Grímsnes-og Grafningshreppur"
"8720";"Skeiða-og Gnúpverjahreppur"
"8721";"Bláskógabyggð"
"8722";"Flóahreppur"
